0.	-10.	-2.1663659574777437e-20	1.920679778999459e-6
0.	-9.96	-5.42685031472469e-21	1.943919096247806e-6
0.	-9.92	-1.350747793155487e-20	1.967534866142986e-6
0.	-9.88	6.23469608065307e-22	1.991534743672754e-6
0.	-9.84	-6.958256256047095e-21	2.0159265696761993e-6
0.	-9.8	-1.0929001070230888e-20	2.0407183788373494e-6
0.	-9.76	-2.036395644461432e-20	2.0659184043481126e-6
0.	-9.72	-1.829608908865984e-20	2.0915350831263194e-6
0.	-9.68	-1.6228784764238666e-20	2.1175770631431966e-6
0.	-9.64	-2.041255836749961e-20	2.144053207420174e-6
0.	-9.6	-4.826691339203149e-21	2.170972602577595e-6
0.	-9.56	-4.9528675738333615e-21	2.1983445639417475e-6
0.	-9.52	-1.8285103395409023e-20	2.226178642650292e-6
0.	-9.48	-8.433416645926856e-21	2.254484633645862e-6
0.	-9.44	-1.2540441707058239e-20	2.2832725807830937e-6
0.	-9.4	-1.3971803729899238e-20	2.3125527865985894e-6
0.	-9.36	-6.802000542222985e-21	2.342335818084076e-6
0.	-9.32	-7.024013144521482e-21	2.3726325170114774e-6
0.	-9.28	-1.5366760035728777e-20	2.403454005039943e-6
0.	-9.24	-5.3272488291964095e-21	2.4348116964834102e-6
0.	-9.2	-1.1433181341128954e-20	2.4667173024184338e-6
0.	-9.16	-1.9050801516514737e-20	2.4991828437848114e-6
0.	-9.12	-2.1643813430083867e-20	2.5322206586020387e-6
0.	-9.08	-1.335127520072453e-20	2.5658434135156257e-6
0.	-9.04	-3.0392351621662667e-20	2.600064112012749e-6
0.	-9.	-1.3450505512401308e-20	2.6348961068567463e-6
0.	-8.96	-5.44412445520273e-21	2.6703531101901524e-6
0.	-8.92	-1.602743793261178e-20	2.7064492045258997e-6
0.	-8.88	-1.2630016405822077e-20	2.7431988549597753e-6
0.	-8.84	-1.533889790232878e-20	2.780616922049009e-6
0.	-8.8	-2.124369727936394e-20	2.8187186720263243e-6
0.	-8.76	-2.0253698449037823e-20	2.857519794008393e-6
0.	-8.72	-7.413443649418968e-21	2.897036408211487e-6
0.	-8.68	-2.9578823161828156e-20	2.93728508515834e-6
0.	-8.64	-1.076235443361703e-20	2.9782828576685494e-6
0.	-8.6	-1.3005800807627527e-20	3.020047234958415e-6
0.	-8.56	-1.827486656772902e-20	3.0625962212926824e-6
0.	-8.52	-2.2057151489755913e-20	3.105948330417445e-6
0.	-8.48	-1.229851113264563e-20	3.150122602324505e-6
0.	-8.44	-8.123561206125938e-21	3.195138621014952e-6
0.	-8.4	-1.1896838205626296e-20	3.241016534594191e-6
0.	-8.36	-6.0094693569289316e-21	3.287777071037116e-6
0.	-8.32	-2.996108952033758e-20	3.335441560059497e-6
0.	-8.28	-2.354118653119531e-20	3.384031953879156e-6
0.	-8.24	-1.522531445738757e-20	3.433570845534643e-6
0.	-8.2	-2.6109767316799717e-20	3.4840814949754823e-6
0.	-8.16	-6.5158197170356946e-21	3.5355878491571995e-6
0.	-8.12	-1.5614419326851044e-20	3.588114566799309e-6
0.	-8.08	-1.3198985466680362e-20	3.6416870429212297e-6
0.	-8.04	-2.7545034105361593e-20	3.696331435265603e-6
0.	-8.	-2.4508758435572936e-20	3.75207469072159e-6
0.	-7.96	-8.160455263630706e-21	3.808944572858412e-6
0.	-7.92	-4.740300426587845e-21	3.866969691679327e-6
0.	-7.88	-2.479647256256785e-20	3.926179534041734e-6
0.	-7.84	-1.8653517932994893e-20	3.98660449318911e-6
0.	-7.8	-8.453788675961211e-21	4.048275904833258e-6
0.	-7.76	-1.7945370165748628e-20	4.11122607757442e-6
0.	-7.72	-2.2596137300862973e-20	4.175488332203164e-6
0.	-7.68	-1.3288815989282639e-20	4.24109703578424e-6
0.	-7.64	-2.0366018192623788e-20	4.308087641402562e-6
0.	-7.6	-3.574020736528551e-21	4.376496728575324e-6
0.	-7.56	-3.2278060203139954e-20	4.446362045440471e-6
0.	-7.52	-1.2493066544465025e-20	4.517722551611319e-6
0.	-7.48	-1.2244170315521435e-20	4.590618465027957e-6
0.	-7.44	-1.3479970281185948e-20	4.665091307254348e-6
0.	-7.4	-1.7612843290728262e-21	4.741183957546198e-6
0.	-7.36	-3.388229946665513e-20	4.818940699258262e-6
0.	-7.32	1.983665390084712e-21	4.89840727846414e-6
0.	-7.28	-2.777480520850068e-20	4.979630958135145e-6
0.	-7.24	-1.8414095503616783e-20	5.062660577870309e-6
0.	-7.2	-3.519468635192288e-20	5.147546616179893e-6
0.	-7.16	7.577555245835926e-21	5.234341253324009e-6
0.	-7.12	-1.9856951695124994e-20	5.323098440590541e-6
0.	-7.08	3.3501952686871036e-21	5.413873969795097e-6
0.	-7.04	-2.366522737645233e-20	5.506725546888809e-6
0.	-7.	-1.409638598073114e-20	5.601712869340865e-6
0.	-6.96	-4.3913413819898574e-20	5.698897707184797e-6
0.	-6.92	-1.8839860000056014e-20	5.7983439862852105e-6
0.	-6.88	-1.5823457036460474e-20	5.900117877821748e-6
0.	-6.84	-1.5396735565731933e-21	6.004287890326593e-6
0.	-6.8	-2.5635400584814182e-20	6.110924966273864e-6
0.	-6.76	-2.285780685284e-20	6.22010258477524e-6
0.	-6.72	-1.1149438957489499e-20	6.331896866162986e-6
0.	-6.68	-9.997346745985567e-21	6.446386685565747e-6
0.	-6.64	-2.827077729818392e-20	6.5636537878166555e-6
0.	-6.6	-4.51491963416418e-20	6.683782911909304e-6
0.	-6.56	-1.4770814604699854e-20	6.806861918895464e-6
0.	-6.52	-4.214362691294513e-21	6.932981926111034e-6
